provider,lat,lon,num_stops_per_week,score
Cottonwood Area Transit,34.73723,-112.02289,152,4
Cottonwood Area Transit,34.73963,-112.02602,16,1
Cottonwood Area Transit,34.74217,-112.02797,16,1
Cottonwood Area Transit,34.74488,-112.02611,16,1
Cottonwood Area Transit,34.74496,-112.02488,16,1
Cottonwood Area Transit,34.74393,-112.0193,16,1
Cottonwood Area Transit,34.7433,-112.01127,16,1
Cottonwood Area Transit,34.74062,-112.00983,16,1
Cottonwood Area Transit,34.73601,-112.00986,32,2
Cottonwood Area Transit,34.72989,-112.00978,32,2
Cottonwood Area Transit,34.72733,-112.00884,16,1
Cottonwood Area Transit,34.72493,-112.00707,16,1
Cottonwood Area Transit,34.71982,-112.00244,16,1
Cottonwood Area Transit,34.71838,-112.00164,32,2
Cottonwood Area Transit,34.71759,-112.00511,28,1
Cottonwood Area Transit,34.71958,-112.00638,12,1
Cottonwood Area Transit,34.72114,-112.00773,12,1
Cottonwood Area Transit,34.72412,-112.01403,12,1
Cottonwood Area Transit,34.72872,-112.03033,48,2
Cottonwood Area Transit,34.73128,-112.02853,48,2
Cottonwood Area Transit,34.73462,-112.02733,0,0
Cottonwood Area Transit,34.73944,-112.02594,48,2
Cottonwood Area Transit,34.73542,-112.02904,16,1
Cottonwood Area Transit,34.7397,-112.03892,0,0
Cottonwood Area Transit,34.73977,-112.0441,16,1
Cottonwood Area Transit,34.73975,-112.04828,16,1
Cottonwood Area Transit,34.73974,-112.04996,16,1
Cottonwood Area Transit,34.73936,-112.05649,16,1
Cottonwood Area Transit,34.73964,-112.04374,16,1
Cottonwood Area Transit,34.73962,-112.03851,16,1
Cottonwood Area Transit,34.72855,-112.00744,16,1
Cottonwood Area Transit,34.72442,-112.00385,16,1
Cottonwood Area Transit,34.71436,-111.99937,32,2
Cottonwood Area Transit,34.69893,-111.98828,4,1
Cottonwood Area Transit,34.69855,-111.99135,4,1
Cottonwood Area Transit,34.69488,-111.98978,4,1
Cottonwood Area Transit,34.69339,-111.99021,4,1
Cottonwood Area Transit,34.6901,-111.99154,4,1
Cottonwood Area Transit,34.69133,-111.98473,4,1
Cottonwood Area Transit,34.69295,-111.98111,4,1
Cottonwood Area Transit,34.6968,-111.97726,4,1
Cottonwood Area Transit,34.69902,-111.97968,4,1
Cottonwood Area Transit,34.70232,-111.97678,4,1
Cottonwood Area Transit,34.70347,-111.98125,4,1
Cottonwood Area Transit,34.70082,-111.98482,4,1
Cottonwood Area Transit,34.70643,-111.98856,16,1
Cottonwood Area Transit,34.71408,-112.00143,32,2
Cottonwood Area Transit,34.71883,-112.00159,4,1
Cottonwood Area Transit,34.72232,-112.00177,4,1
Cottonwood Area Transit,34.7247,-112.00387,4,1
Cottonwood Area Transit,34.7287,-112.00771,4,1
Cottonwood Area Transit,34.72874,-112.01288,4,1
Cottonwood Area Transit,34.73945,-112.0191,32,2
Cottonwood Area Transit,34.74102,-112.01403,0,0
Cottonwood Area Transit,34.74325,-112.01392,0,0
Cottonwood Area Transit,34.74422,-112.01691,0,0
Cottonwood Area Transit,34.74398,-112.0204,0,0
Cottonwood Area Transit,34.7445,-112.02303,0,0
Cottonwood Area Transit,34.74488,-112.02429,0,0
Cottonwood Area Transit,34.74672,-112.02721,16,1
Cottonwood Area Transit,34.74915,-112.02719,16,1
Cottonwood Area Transit,34.75913,-112.03801,16,1
Cottonwood Area Transit,34.77129,-112.05768,16,1
Cottonwood Area Transit,34.77098,-112.06026,0,0
Cottonwood Area Transit,34.7706,-112.06266,0,0
Cottonwood Area Transit,34.76904,-112.06559,0,0
Cottonwood Area Transit,34.76696,-112.06924,0,0
Cottonwood Area Transit,34.75707,-112.05739,0,0
Cottonwood Area Transit,34.7545,-112.05486,16,1
Cottonwood Area Transit,34.75899,-112.05845,16,1
Cottonwood Area Transit,34.76689,-112.06921,16,1
Cottonwood Area Transit,34.76835,-112.0665,16,1
Cottonwood Area Transit,34.7705,-112.06262,16,1
Cottonwood Area Transit,34.77087,-112.06017,16,1
Cottonwood Area Transit,34.77091,-112.05731,0,0
Cottonwood Area Transit,34.77111,-112.05261,16,1
Cottonwood Area Transit,34.74906,-112.02728,16,1
Cottonwood Area Transit,34.74628,-112.02736,0,0
Cottonwood Area Transit,34.74438,-112.02293,16,1
Cottonwood Area Transit,34.74405,-112.01452,16,1
Cottonwood Area Transit,34.74324,-112.01401,0,0
Cottonwood Area Transit,34.74131,-112.01405,0,0
Cottonwood Area Transit,34.73958,-112.01911,8,1
Cottonwood Area Transit,34.73304,-112.02287,16,1
Cottonwood Area Transit,34.71819,-112.0229,16,1
Cottonwood Area Transit,34.7222,-112.02289,16,1
Cottonwood Area Transit,34.7287,-112.0263,32,2
Cottonwood Area Transit,34.73693,-112.02732,32,2
Cottonwood Area Transit,34.73943,-112.01035,28,1
Cottonwood Area Transit,34.85042,-111.82825,28,1
Cottonwood Area Transit,34.85524,-111.82264,28,1
Cottonwood Area Transit,34.8614,-111.81506,28,1
Cottonwood Area Transit,34.8628,-111.80444,28,1
Cottonwood Area Transit,34.86336,-111.79918,28,1
Cottonwood Area Transit,34.86382,-111.79469,28,1
Cottonwood Area Transit,34.86343,-111.79025,28,1
Cottonwood Area Transit,34.86243,-111.7826,28,1
Cottonwood Area Transit,34.86286,-111.78394,28,1
Cottonwood Area Transit,34.86383,-111.79155,28,1
Cottonwood Area Transit,34.86407,-111.79494,28,1
Cottonwood Area Transit,34.86343,-111.80083,28,1
Cottonwood Area Transit,34.86278,-111.8064,28,1
Cottonwood Area Transit,34.86146,-111.81556,28,1
Cottonwood Area Transit,34.85704,-111.82186,28,1
Cottonwood Area Transit,34.85083,-111.82818,28,1
Cottonwood Area Transit,34.73959,-112.01045,28,1
Cottonwood Area Transit,34.73221,-112.00993,32,2
Cottonwood Area Transit,34.72872,-112.02345,48,2
Cottonwood Area Transit,34.73966,-112.03087,16,1
Cottonwood Area Transit,34.70462,-111.99028,16,1
Cottonwood Area Transit,34.73924,-112.01403,12,1
Cottonwood Area Transit,34.7358,-112.01434,12,1
Cottonwood Area Transit,34.73583,-112.01793,12,1
Cottonwood Area Transit,34.72872,-112.0271,16,1
Cottonwood Area Transit,34.71773,-112.01435,16,1
Cottonwood Area Transit,34.71779,-112.00997,16,1
Cottonwood Area Transit,34.75281,-112.04628,0,0
Cottonwood Area Transit,34.73964,-112.03094,0,0
Cottonwood Area Transit,34.73821,-112.03527,32,2
Cottonwood Area Transit,34.73946,-112.01011,16,1
Cottonwood Area Transit,34.74977,-112.02818,16,1
Cottonwood Area Transit,34.74489,-112.0263,16,1
Cottonwood Area Transit,34.74693,-112.02739,16,1
Cottonwood Area Transit,34.75273,-112.05154,16,1
Cottonwood Area Transit,34.77081,-112.05722,0,0
Cottonwood Area Transit,34.74566,-112.02709,32,2
Cottonwood Area Transit,34.73947,-112.03088,16,1
Cottonwood Area Transit,34.74771,-112.02734,16,1
Cottonwood Area Transit,34.73248,-112.02757,28,1
Verde Lynx,34.86383,-111.79155,25,2
Verde Lynx,34.85524,-111.82264,34,3
Verde Lynx,34.86146,-111.81556,25,2
Verde Lynx,34.73943,-112.01035,34,3
Verde Lynx,34.8628,-111.80444,34,3
Verde Lynx,34.86343,-111.79025,34,3
Verde Lynx,34.86336,-111.79918,34,3
Verde Lynx,34.86278,-111.8064,25,2
Verde Lynx,34.85083,-111.82818,25,2
Verde Lynx,34.73727,-112.02287,59,4
Verde Lynx,34.86382,-111.79469,34,3
Verde Lynx,34.86243,-111.7826,34,3
Verde Lynx,34.85042,-111.82825,34,3
Verde Lynx,34.85704,-111.82186,25,2
Verde Lynx,34.86407,-111.79494,25,2
Verde Lynx,34.86343,-111.80083,25,2
Verde Lynx,34.8614,-111.81506,34,3
Verde Lynx,34.86286,-111.78394,25,2
Verde Lynx,34.73959,-112.01045,25,2
